No,認定地域,北緯,東経,現在の市町村名
1,北海道虻田郡喜茂別町,42.7955555,140.9347222,北海道喜茂別町
2,北海道虻田郡京極町,42.8583333,140.8841666,北海道京極町
3,北海道中川郡美深町,44.4811111,142.3430555,北海道美深町
4,北海道広尾郡大樹町,42.4975,143.2788888,北海道大樹町
5,青森県北津軽郡鶴田町,40.7588888,140.4286111,青森県鶴田町
6,青森県上北郡十和田湖町,40.5863888,141.1088888,青森県十和田市
7,岩手県盛岡市,39.7019444,141.1541666,岩手県盛岡市
8,岩手県胆沢郡胆沢町,39.1166666,141.0697222,岩手県奥州市
9,岩手県下閉伊郡岩泉町,39.8430555,141.7966666,岩手県岩泉町
10,宮城県石巻市,38.4280555,141.3061111,宮城県石巻市
11,宮城県刈田郡七ケ宿町,37.9930555,140.4416666,宮城県七ケ宿町
12,秋田県北秋田郡森吉町,40.1183333,140.3813888,秋田県北秋田市
13,秋田県仙北郡六郷町,39.4211111,140.5438888,秋田県美郷町
14,山形県長井市,38.1077777,140.0405555,山形県長井市
15,山形県西村山郡西川町,38.4266666,140.1477777,山形県西川町
16,山形県飽海郡遊佐町,39.0147222,139.9075,山形県遊佐町
17,山形県飽海郡八幡町,38.9711111,139.9425,山形県酒田市
18,福島県郡山市,37.4005555,140.3597222,福島県郡山市
19,福島県南会津郡只見町,37.3486111,139.3158333,福島県只見町
20,福島県西白河郡西郷村,37.1419444,140.1552777,福島県西郷村
21,茨城県土浦市,36.0719444,140.1961111,茨城県土浦市
22,茨城県久慈郡大子町,36.7680555,140.3552777,茨城県大子町
23,栃木県芳賀郡茂木町,36.5322222,140.1875,栃木県茂木町
24,栃木県那須郡烏山町,36.6569444,140.1516666,栃木県那須烏山市
25,群馬県前橋市,36.3891666,139.0636111,群馬県前橋市
26,群馬県甘楽郡甘楽町,36.2430555,138.9219444,群馬県甘楽町
27,埼玉県加須市,36.1313888,139.6019444,埼玉県加須市
28,埼玉県大里郡寄居町,36.1183333,139.1930555,埼玉県寄居町
29,埼玉県北埼玉郡北川辺町,36.1902777,139.6616666,埼玉県加須市
30,千葉県佐原市,35.8977777,140.4991666,千葉県香取市
31,千葉県香取郡小見川町,35.8475,140.6036111,千葉県香取市
32,東京都墨田区,35.7105555,139.8016666,東京都墨田区
33,東京都日野市,35.6713888,139.395,東京都日野市
34,神奈川県南足柄市,35.3205555,139.1,神奈川県南足柄市
35,神奈川県愛甲郡清川村,35.4827777,139.2761111,神奈川県清川村
36,新潟県豊栄市,37.9163888,139.2188888,新潟県新潟市
37,新潟県北魚沼郡小出町,37.2302777,138.9616666,新潟県魚沼市
38,新潟県中魚沼郡津南町,37.0141666,138.6525,新潟県津南町
39,富山県黒部市,36.8736111,137.4491666,富山県黒部市
40,富山県砺波市,36.6475,136.9622222,富山県砺波市
41,富山県下新川郡入善町,36.9336111,137.5022222,富山県入善町
42,富山県東砺波郡庄川町,36.5775,136.9858333,富山県砺波市
43,石川県小松市,36.4086111,136.4455555,石川県小松市
44,石川県輪島市,37.3905555,136.8991666,石川県輪島市
45,石川県石川郡美川町,36.4908333,136.4922222,石川県白山市
46,福井県大野市,35.9805555,136.4875,福井県大野市
47,福井県遠敷郡上中町,35.4619444,135.8569444,福井県若狭町
48,山梨県北都留郡小菅村,35.7602777,138.9402777,山梨県小菅村
49,長野県上伊那郡箕輪町,35.915,137.9819444,長野県箕輪町
50,長野県木曽郡木曽福島町,35.8497222,137.6983333,長野県木曽町
51,長野県南安曇郡穂高町,36.3383333,137.8863888,長野県安曇野市
52,長野県南安曇郡豊科町,36.2980555,137.9069444,長野県安曇野市
53,長野県東筑摩郡明科町,36.3558333,137.9291666,長野県安曇野市
54,岐阜県大垣市,35.3594444,136.6127777,岐阜県大垣市
55,岐阜県海津郡海津町,35.2205555,136.6366666,岐阜県海津市
56,岐阜県郡上郡八幡町,35.7486111,136.9644444,岐阜県郡上市
57,岐阜県益田郡馬瀬村,35.8711111,137.1744444,岐阜県下呂市
58,静岡県三島市,35.1186111,138.9186111,静岡県三島市
59,静岡県天竜市,34.8727777,137.8161111,静岡県浜松市
60,静岡県榛原郡川根町,34.9427777,138.0772222,静岡県島田市
61,静岡県榛原郡中川根町,35.0469444,138.0816666,静岡県川根本町
62,静岡県榛原郡本川根町,35.1097222,138.1380555,静岡県川根本町
63,愛知県東加茂郡旭町,35.2316666,137.3622222,愛知県豊田市
64,三重県桑名郡長島町,35.0880555,136.6986111,三重県桑名市
65,滋賀県近江八幡市,35.1283333,136.0980555,滋賀県近江八幡市
66,滋賀県犬上郡甲良町,35.2041666,136.2613888,滋賀県甲良町
67,滋賀県坂田郡米原町,35.3152777,136.2838888,滋賀県米原市
68,滋賀県高島郡マキノ町,35.4644444,136.0397222,滋賀県高島市
69,京都府北桑田郡美山町,35.2725,135.5511111,京都府南丹市
70,大阪府大阪狭山市,34.5036111,135.5555555,大阪府大阪狭山市
71,兵庫県豊岡市,35.5444444,134.82,兵庫県豊岡市
72,兵庫県赤穂郡上郡町,34.8736111,134.3561111,兵庫県上郡町
73,兵庫県宍栗郡千種町,35.1527777,134.445,兵庫県宍粟市
74,奈良県吉野郡天川村,34.2419444,135.8552777,奈良県天川村
75,和歌山県日高郡美山村,33.9822222,135.3669444,和歌山県日高川町
76,鳥取県西伯郡淀江町,35.4530555,133.4191666,鳥取県米子市
77,島根県松江市,35.4680555,133.0486111,島根県松江市
78,島根県邑智郡桜江町,34.9583333,132.3352777,島根県江津市
79,島根県鹿足郡津和野町,34.4669444,131.7730555,島根県津和野町
80,岡山県岡山市,34.655,133.9197222,岡山県岡山市
81,岡山県苫田郡加茂町,35.1780555,134.0544444,岡山県津山市
82,広島県広島市,34.3852777,132.4552777,広島県広島市
83,広島県東広島市,34.4269444,132.7436111,広島県東広島市
84,山口県山口市,34.1783333,131.4738888,山口県山口市
85,山口県萩市,34.4080555,131.3991666,山口県萩市
86,徳島県徳島市,34.0702777,134.5547222,徳島県徳島市
87,香川県仲多度郡満濃町,34.1922222,133.8413888,香川県まんのう町
88,愛媛県西条市,33.9197222,133.1811111,愛媛県西条市
89,高知県中村市,32.9916666,132.9338888,高知県四万十市
90,高知県長岡郡本山町,33.7569444,133.5916666,高知県本山町
91,高知県長岡郡大豊町,33.7641666,133.6641666,高知県大豊町
92,高知県土佐郡土佐町,33.7375,133.5325,高知県土佐町
93,高知県土佐郡大川村,33.7836111,133.4666666,高知県大川村
94,高知県土佐郡本川村,33.7255555,133.3077777,高知県いの町
95,高知県高岡郡檮原町,33.3919444,132.9269444,高知県檮原町
96,高知県幡多郡十和村,33.2336111,132.8533333,高知県四万十町
97,福岡県柳川市,33.1630555,130.4061111,福岡県柳川市
98,福岡県甘木市,33.4233333,130.6655555,福岡県朝倉市
99,佐賀県佐賀市,33.2633333,130.3008333,佐賀県佐賀市
100,佐賀県佐賀郡富士町,33.3736111,130.2080555,佐賀県佐賀市
101,佐賀県神埼郡神埼町,33.3108333,130.3730555,佐賀県神埼市
102,長崎県島原市,32.7880555,130.3705555,長崎県島原市
103,熊本県熊本市,32.8033333,130.7080555,熊本県熊本市
104,熊本県阿蘇郡白水村,32.8255555,131.0819444,熊本県南阿蘇村
105,熊本県上益城郡嘉島町,32.74,130.7572222,熊本県嘉島町
106,熊本県上益城郡矢部町,32.685,130.99,熊本県山都町
107,大分県日田市,33.3211111,130.9413888,大分県日田市
108,大分県竹田市,32.9730555,131.3983333,大分県竹田市
109,大分県大野郡三重町,32.9780555,131.585,大分県豊後大野市
110,大分県下毛郡山国町,33.4025,131.0416666,大分県中津市
111,宮崎県延岡市,32.5822222,131.665,宮崎県延岡市
112,宮崎県東諸県郡綾町,31.9991666,131.2530555,宮崎県綾町
113,鹿児島県揖宿郡開聞町,31.2036111,130.5377777,鹿児島県指宿市
114,鹿児島県川辺郡川辺町,31.3913888,130.3936111,鹿児島県南九州市
115,沖縄県島尻郡玉城村,26.1444444,127.7669444,沖縄県南城市
